symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
HSBA.L,HSBC HOLDINGS PLC ORD $0.50 (UK,United Kingdom,20173580,376.05,GBp,Financial Services,Banks—Diversified,0.21959,0.29834,-1.99E+11,0.00386,0.056700002,28.97976875,66232569811,3.280233825,0.393,57424101777,12691758283,1.47E+12,72.64814029,7.86E+11,8.657,1.06E+11,-5.37E+11,17.907143,8.228,4.883766,,1.6004161,43.438835,-8.107,0.628278,638.3139065,388.4669002,542.5522616,580.8052666,0.000406614,
LLOY.L,LLOYDS BANKING GROUP PLC ORD 10,United Kingdom,140168437,45.045,GBp,Financial Services,Banks—Regional,0.17782,0.28157,-50150691000,0.00266,0.045089997,3.725970268,17345081504,0.262197908,0.506,15188158804,2459140377,1.81806E+11,,11729906046,0.695,44111364524,57711162450,16.683332,1.91,0.05782413,,2.5431628,64.81295,3.327,1.483139,69.77224324,32.54704029,61.68792275,62.29982367,0.000134018,
BARC.L,BARCLAYS PLC ORD 25P,United Kingdom,34973731,182.72,GBp,Financial Services,Banks—Diversified,0.2574,0.35202998,18783029853,0.004,0.08023,20.42383703,29283365976,1.700146433,0.666,23542612139,6407288607,8.63E+11,50.55727657,8.76E+11,3.783,42854678457,56911139424,12.345946,6.777,0.078623064,,1.4634478,48.300293,1.943,1.425313,300.3270035,122.6810211,251.7667366,247.5995424,5.47E-05,
NWG.L,NATWEST GROUP PLC ORD 100P,United Kingdom,18208042,213,GBp,Financial Services,Banks—Diversified,-0.00627,0.1916,-23848465000,-6.00E-05,-0.0012,-4.829961459,11667806984,0.961852325,0.22,10951592610,-580975364,4.64E+11,40.12179984,2.32E+11,3.692,34026225180,-2.00E+11,,0.812,,,2.9162486,57.69231,-17.127,1.663349,306.7701721,124.944203,294.1599983,279.0998887,0.000141509,
STAN.L,STANDARD CHARTERED PLC ORD USD0,United Kingdom,6646957,442,GBp,Financial Services,Banks—Diversified,0.10045999,0.19423,-16427197000,0.0017,0.02607,27.32378197,17939856140,5.695214554,0.16,17194662793,1213010321,3.34E+11,106.0935534,3.01E+11,16.03,19024682750,-9960062265,22.323233,1.141,5.390244,,1.0604702,27.5733,-0.555,1.208955,735.8101285,461.2613193,623.5518607,657.1833239,0.000203943,
VMUK.L,VIRGIN MONEY UK PLC ORD GBP0.10,United Kingdom,1870362,195.1,GBp,Financial Services,Banks—Regional,-0.15226,0.15602,1395168867,-0.00092,-0.01635,-15.59387557,1468308283,1.018431873,0.228,1299949627,-223558216.1,14950800522,10.38441714,18901709790,3.528,3876511920,7924782966,,,,,2.6401212,55.300453,5.397,2.145098,299.3196115,96.85038717,280.158837,273.6867991,0.000160663,
BGEO.L,BANK OF GEORGIA GROUP PLC ORD 1,United Kingdom,42466,1540,GBp,Financial Services,Banks—Regional,0.51924,0,,0.030280001,0.24787001,,,,0.623,1089056950,,,,,,1022861263,1042647346,,0.763,1.318493,,,,,1.444716,2334.941368,1145.032063,2140.976326,1799.179825,,
STB.L,SECURE TRUST BANK PLC ORD 40P,United Kingdom,25170,1250,GBp,Financial Services,Banks—Regional,0.26615998,0.31967,37535700.48,0.01454,0.13978,117.5750618,198580415.4,10.65903494,0.647,154144770,52853578.25,256539952.9,13.76401017,509767932.2,14.517,321509856.6,577309406.7,14.671362,5.667,0.065893516,,1.6190411,86.10594,2.907,1.18358,1959.584363,852.8331947,1802.802296,1620.509477,0.000354839,
MTRO.L,METRO BANK PLC ORD 0.0001P,United Kingdom,369513,102.5,GBp,Financial Services,Banks—Regional,-1.00366,-0.82735,-764513899.5,-0.01372,-0.2101,-241.4980729,414824689.9,2.405320806,0.298,414824689.9,-416342677.7,5238438199,30.38183756,1560767634,7.476,243886138.4,-3439256514,,,0.011793809,,0.5879258,13.710541,-8.291,2.686567,224.9382051,79.15616836,138.5106457,149.0747456,,
ARBB.L,ARBUTHNOT BANKING GROUP PLC ORD,United Kingdom,1718,935,GBp,Financial Services,Banks—Regional,-0.01912,0.02658,9461204.503,-0.00049,-0.00662,-12.281902,96117613.02,6.397628949,-0.067,96117613.02,-1838145.332,1509347787,100.4714783,78121176.62,12.915,193255711.3,-1215623512,,,,,2.010617,72.39644,-12.647,1.270315,1642.186896,827.9933929,1374.622349,1409.169959,0,
