,symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
0,GARAN.IS,GARANTI BANKASI,Turkey,147291122,9.39,TRY,Financial Services,Banks—Regional,0.30776,0.36997002,-8040190097,0.015520001,0.13484,0.232174926,3168652000,0.754423181,0.337,2732762820,975175128.6,11502552060,2.738082962,10212714506,16.025,4585135078,3326487994,4.702053,0.755,5.9056606,,1.4470302,0.5859595,1.05,1.200986,1.25679066,0.74872635,1.095020542,0.965851411,0.015684212,
1,AKBNK.IS,AKBANK,Turkey,65229093,5.55,TRY,Financial Services,Banks—Regional,0.35342997,0.47333,-6105998073,0.0153,0.120299995,0.16788212,2470019040,0.475045942,0.3,2204561609,872978985.7,10187673555,1.95912853,14039285538,12.944,3355317184,7206951311,3.8434904,0.331,3.8541667,,1.3584175,0.4287701,2.918,1.043517,0.887077959,0.540617629,0.653989563,0.620626945,0.02166065,
2,ISCTR.IS,IS BANKASI (C),Turkey,40740588,5.27,TRY,Financial Services,Banks—Regional,0.22107,0.24507,-6665408.446,0.012359999,0.12165,0.197296369,4016096801,0.892426004,0.043,3802497455,887836573.7,14310623462,3.180110538,23579771659,15.618,2761095808,12937197019,3.1054802,0.355,3.9037037,,0.6875073,0.33743116,3.221,1.167339,0.856849876,0.541780247,0.641532919,0.610626763,,
3,YKBNK.IS,YAPI VE KREDI BANK.,Turkey,193645340,2.45,TRY,Financial Services,Banks—Regional,0.35071,0.45748,-5068753920,0.0126,0.1306,0.086731344,2089841269,0.247405229,0.408,1855328550,732927298,9996997742,1.183545691,18595355703,6.205,2406070897,11004532195,3.2841823,0.677,5.104167,,1.1513175,0.3948429,5.266,1.266038,0.390639835,0.229035856,0.293976403,0.269987664,,
4,SAHOL.IS,SABANCI HOLDING,Turkey,15962974,9.67,TRY,Financial Services,Banks—Regional,0.24125999,0.48564,1478400072,0.02157,0.1443,0.342623689,2892571992,1.420254829,0.392,2445872275,699178575.9,5214736607,2.558690919,14852104025,20.351,2291787986,16808706901,3.281303,0.652,4.8592963,,0.7923011,0.47516093,5.811,0.940331,1.384678701,0.855687258,1.160691981,1.074267685,0.03626943,3.03
5,VAKBN.IS,VAKIFLAR BANKASI,Turkey,37962129,3.44,TRY,Financial Services,Banks—Regional,0.27534,0.33972,-4663972358,0.00609,0.08387999,0.121377377,1621411337,0.440632433,-0.368,2021866333,446434126.5,12687450391,3.248472509,27013519202,12.257,1562016700,16008385079,3.2950191,-0.681,2.6259544,,0.96336854,0.28065595,9.873,1.005832,0.581309278,0.383664124,0.410802977,0.416339402,,
6,HALKB.IS,T. HALK BANKASI,Turkey,42513503,4.67,TRY,Financial Services,Banks—Regional,0.13151,0.12474,-7672764715,0.00198,0.031600002,0.062548878,1178242602,0.475743513,-0.313,1392645661,154949619.5,6882686140,2.782262468,15978068690,17.067,1343121245,10470134758,8.680298,-0.905,1.8171207,,1.1399361,0.2736275,8.886,0.877074,0.723148742,0.477836227,0.549686054,0.547235602,,
7,TSKB.IS,T.S.K.B.,Turkey,54790443,1.25,TRY,Financial Services,Banks—Regional,0.56165004,0.67945,140360270.8,0.014989999,0.12546,0.029530511,147445614.3,0.052550359,0.484,147053226.8,82812624.07,520023915.2,0.185670183,5288252256,2.17,406916494.8,5181442962,4.92126,0.174,4.8076925,,2.7597735,0.5760369,35.141,0.861123,0.324370577,0.12091233,0.152502339,0.156579514,0.026771655,
8,ALBRK.IS,ALBARAKA TURK,Turkey,11662026,1.52,TRY,Financial Services,Banks—Regional,0.20106001,0.24412,-1706036217,0.00604,0.08495,0.030925654,213413402.2,0.153698173,0.356,196021209,42909810.35,1748195199,1.294924548,1347149969,3.117,238569327.8,-842433.406,5.7142854,3.81,,,1.1178741,0.48764837,-0.004,1.047287,0.318557484,0.167417072,0.175322878,0.188279169,,
9,SKBNK.IS,SEKERBANK,Turkey,37425039,1.01,TRY,Financial Services,Banks—Regional,0.105749995,0.10232,-383749335.2,0.00471,0.073,0.013835161,183207284.9,0.130910849,-0.119,186081169.1,19374690.39,746590852.6,0.401335926,679715634.4,1.473,218409514.6,181260484.8,8.487394,-0.811,,,1.1921443,0.68567544,0.989,1.109411,0.206388511,0.117424474,0.121410593,0.130245797,,
