,symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
0,HSBA.L,HSBC HOLDINGS PLC ORD $0.50 (UK,United Kingdom,20173580,376.05,GBp,Financial Services,Banks—Diversified,0.21959,0.29834,-199304899641.1841,0.00386,0.056700002,28.97976875226972,66232569810.751724,3.280233824959291,0.39299999999999996,57424101777.11655,12691758282.909456,1469742051821.796,72.64814029497556,786085929721.4952,8.657,105999670708.78014,-536949073601.0308,17.907142999999998,8.228,4.8837660000000005,,1.6004161,43.438835,-8.107000000000001,0.628278,638.3139064934456,388.4669001792345,542.5522616356031,580.8052665909117,0.00040661427,
1,LLOY.L,LLOYDS BANKING GROUP PLC ORD 10,United Kingdom,140168437,45.045,GBp,Financial Services,Banks—Regional,0.17782,0.28157,,0.00266,0.045089997,3.725970268148964,17345081504.408234,0.2621979077586308,0.506,15188158804.165737,2459140376.978316,,,11729906046.451038,0.695,44111364523.627335,57711162449.6796,16.683332,1.91,0.05782413,,2.5431627999999997,64.81295,3.327,1.483139,69.77224324355986,32.5470402867753,61.68792275341775,62.29982367067698,0.00013401832,
2,BARC.L,BARCLAYS PLC ORD 25P,United Kingdom,34973731,182.72,GBp,Financial Services,Banks—Diversified,0.2574,0.35202998,18783029853.4775,0.004,0.08023,20.423837025409135,29283365976.397263,1.70014643346649,0.6659999999999999,23542612138.748642,6407288607.270128,862902972148.5889,50.55727657181683,875982525619.2776,3.783,42854678456.79276,56911139424.28452,12.345946000000001,6.777,0.078623064,,1.4634478000000002,48.300292999999996,1.943,1.4253129999999998,300.3270035026885,122.68102105127514,251.76673659548047,247.5995424481333,5.4734537e-05,
3,NWG.L,NATWEST GROUP PLC ORD 100P,United Kingdom,18208042,213.0,GBp,Financial Services,Banks—Diversified,-0.00627,0.1916,,-6.000000200000001e-05,-0.0011999999,-4.82996145871162,11667806983.578363,0.961852324777714,0.22,10951592610.381546,-580975364.0335977,463812896778.0045,40.12179984302333,231611820872.4998,3.6919999999999997,34026225179.75235,-199833560572.10733,,0.812,,,2.9162486,57.69231,-17.127,1.6633490000000002,306.7701720886098,124.94420299192859,294.15999831308653,279.09988868713606,0.00014150943000000002,
4,STAN.L,STANDARD CHARTERED PLC ORD USD0,United Kingdom,6646957,442.0,GBp,Financial Services,Banks—Diversified,0.10045999,0.19422999999999999,,0.0017,0.02607,27.323781966425727,17939856140.0888,5.6952145543151005,0.16,17194662793.01337,1213010320.6307182,333769655936.25336,106.0935534130712,301026660657.6057,16.03,19024682750.137646,-9960062264.503357,22.323233,1.141,5.390244,,1.0604702,27.5733,-0.555,1.208955,735.81012851001,461.2613193069597,623.5518606890572,657.1833239225425,0.00020394291,
5,VMUK.L,VIRGIN MONEY UK PLC ORD GBP0.10,United Kingdom,1870362,195.1,GBp,Financial Services,Banks—Regional,-0.15225999999999998,0.15602,1395168867.0735564,-0.0009199999999999999,-0.01635,-15.593875566697516,1468308283.4483323,1.01843187329405,0.228,1299949626.8875272,-223558216.08893785,14950800521.556175,10.384417136229985,18901709789.655937,3.528,3876511920.002811,7924782966.071952,,,,,2.6401212000000003,55.300453000000005,5.397,2.145098,299.3196115413001,96.85038717008541,280.15883703712376,273.68679908156923,0.00016066339,
6,BGEO.L,BANK OF GEORGIA GROUP PLC ORD 1,United Kingdom,42466,1540.0,GBp,Financial Services,Banks—Regional,0.5192399999999999,0.0,,0.030280001,0.24787001,,,,0.623,1089056949.7323196,,,,,,1022861262.5891777,1042647345.9836227,,0.763,1.3184930000000001,,,,,1.444716,2334.941368040017,1145.032063071823,2140.9763258086055,1799.1798252170142,,
7,STB.L,SECURE TRUST BANK PLC ORD 40P,United Kingdom,25170,1250.0,GBp,Financial Services,Banks—Regional,0.26615998,0.31966999999999995,37535700.4791303,0.01454,0.13978,117.57506179492286,198580415.40245768,10.659034944882443,0.647,154144769.98231083,52853578.24818715,256539952.90699717,13.764010168339913,509767932.2423064,14.517000000000001,321509856.55143327,577309406.7265676,14.671362,5.667000000000001,0.065893516,,1.6190411,86.10594,2.907,1.1835799999999999,1959.5843632487147,852.8331947096518,1802.802296311048,1620.5094769396576,0.00035483870000000003,
8,MTRO.L,METRO BANK PLC ORD 0.0001P,United Kingdom,369513,102.5,GBp,Financial Services,Banks—Regional,-1.00366,-0.82735,-764513899.4646393,-0.01372,-0.2101,-241.49807293558098,414824689.853918,2.4053208064383864,0.298,414824689.853918,-416342677.7409416,5238438199.219802,30.38183756428429,1560767633.97725,7.476,243886138.35971087,-3439256513.777632,,,0.011793808999999999,,0.5879258,13.710541000000001,-8.291,2.6865669999999997,224.93820507714116,79.15616836334243,138.51064565678334,149.07474563921136,,
9,ARBB.L,ARBUTHNOT BANKING GROUP PLC ORD,United Kingdom,1718,935.0,GBp,Financial Services,Banks—Regional,-0.019119999999999998,0.02658,9461204.50312196,-0.00049,-0.00662,-12.281901995009544,96117613.01734944,6.397628949310591,-0.067,96117613.01734944,-1838145.332286822,1509347787.0084226,100.4714782751309,78121176.62218994,12.915,193255711.3316073,-1215623511.9384274,,,,,2.010617,72.39644,-12.647,1.2703149999999999,1642.1868959619503,827.9933929219919,1374.6223490270959,1409.1699593500696,0.0,
10,BNP.VI,BNP PARIBAS SA,France,209,53.82,EUR,Financial Services,Banks—Regional,0.19459,0.27386,96478203920.384,0.00321,0.07193,6.695752000000001,49427699662.848,39.606716,0.085,46634664000.0,9091804150.784,1397303487234.048,1118.668852,845253897748.48,91.103,79188451614.72,-467707977662.464,9.468684,0.266,,,1.6021068,0.59075993,-9.462,2.0136830000000003,68.47714,34.108990000000006,62.985697452,62.72727488,0.020449521000000002,
11,BNP.PA,BNP PARIBAS ACT.A,France,2932191,53.54,EUR,Financial Services,Banks—Regional,0.19459,0.27386,96478203920.384,0.00321,0.07193,6.695752000000001,49427699662.848,39.606716,0.085,46634664000.0,9091804150.784,1397303487234.048,1118.668852,845253897748.48,91.103,78761966911.48799,-467869830414.336,9.419423,0.266,8.762684,,1.5934783000000001,0.5876865,-9.466000000000001,2.0136830000000003,68.22976,33.91462,62.908145,62.69193488,0.02049483,
12,INGA.VI,ING GROEP NV,Netherlands,4266,11.862,EUR,Financial Services,Banks—Diversified,0.23617001,0.41181999999999996,-48142503698.432,0.0041600000000000005,0.07462,0.8516940000000001,19851655698.432,5.08896,0.361,17691204000.0,4688440000.0,211389749428.224,54.155016,228263410270.208,14.100999999999999,54542934679.552,72313574555.648,16.40664,3.88,,,2.7475257,0.841217,3.6430000000000002,2.111672,14.081812,6.793525999999999,13.63070279,12.853649226,0.010133423,
13,INGA.AS,ING GROEP N.V.,Netherlands,13227026,11.698,EUR,Financial Services,Banks—Diversified,0.23617001,0.41181999999999996,-48142503698.432,0.0041600000000000005,0.07462,0.8516940000000001,19851655698.432,5.08896,0.361,17691204000.0,4688440000.0,211389749428.224,54.155016,228263410270.208,14.100999999999999,53788840976.384,72230804996.096,16.179806,3.88,8.665185000000001,,2.7095392000000005,0.82958657,3.639,2.111672,14.098304,6.652166,13.605573694,12.850588782,0.010188486,
14,NDA-FI.HE,Nordea Bank Abp,Finland,3661932,11.062000000000001,EUR,Financial Services,Banks—Regional,0.32535,0.41467997,11970835849.216002,0.00435,0.07862000000000001,0.7433179999999999,9388659849.216,2.330084,0.247,8853848000.0,3022748150.7840004,126783423627.264,31.388988,275044143857.664,8.537,52682395222.016,192987577909.24802,17.530904999999997,0.713,14.182053,,5.6112795,1.2957715,20.555,1.070757,13.031036,7.307134,12.027838241999998,10.810964242,0.03625883,
15,ACA.VI,CREDIT AGRICOLE SA,France,293,11.714,EUR,Financial Services,Banks—Regional,0.20711999999999997,0.3425,32268953321.472,0.0025499998999999997,0.07037,1.127346,23398612869.12,8.025713999999999,,21167482000.0,4702576000.0,1094263024779.264,355.711236,408444394012.67206,22.531,42566612705.28,-631554919104.5121,12.240333999999999,,,,1.8191938,0.51990587,-26.991,2.082098,15.848811999999999,7.824275999999999,14.217543516,14.384377765999998,0.06709158400000001,
16,ACA.PA,CREDIT AGRICOLE,France,5475869,11.66,EUR,Financial Services,Banks—Regional,0.20711999999999997,0.3425,32268953321.472,0.0025499998999999997,0.07037,1.127346,23398612869.12,8.025713999999999,,21167482000.0,4702576000.0,1094263024779.264,355.711236,408444394012.67206,22.531,42370386026.496,-631670875619.328,12.1839075,,8.328571,,1.8108076000000002,0.5175092,-26.996,2.082098,15.89122,7.673491999999999,14.198892241999998,14.36556275,0.0673968,
