,symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
0,BMO.TO,BANK OF MONTREAL,Canada,2076314,127.85,CAD,Financial Services,Banks—Diversified,0.25075,0.38334998,-65562931.67035472,0.0063300002,0.110810004,7.196124186950982,19330005276.68477,29.97094883658552,0.43799999999999994,17562176624.421642,4650228710.113322,264107243666.25626,407.9957540400992,121427285201.49664,79.672,65374154106.27505,-74167979713.12009,14.034029,0.8909999999999999,10.779933,0.49,3.3820040000000002,1.6047044,-3.8369999999999997,1.18787,104.5452289948367,59.970334607389525,100.75410381546301,96.07523679340171,0.03291925,4.09
1,BNS.TO,BANK OF NOVA SCOTIA,Canada,3790387,78.19,CAD,Financial Services,Banks—Diversified,0.2969,0.3836,-55858826907.766365,0.006790000000000001,0.114479996,4.90300140816737,20901146852.79152,17.245420773821493,0.182,19946929524.57587,6027840190.030174,285892297590.60144,235.52416817541737,144303217332.82904,54.342,74972173988.41815,-63371514484.14671,12.597069,0.807,9.884955999999999,0.67,3.5869883999999996,1.4388503000000001,-3.032,0.842866,65.0494870247435,42.2920405015758,62.54173648494602,62.47629599007576,0.04585403,4.63
2,CM.TO,CANADIAN IMPERIAL BANK OF COMME,Canada,1429211,145.99,CAD,Financial Services,Banks—Diversified,0.29948,0.42888000000000004,-25646955612.35432,0.007090000000000001,0.13177,9.372339569503117,14382769395.82914,32.185870046268356,0.5479999999999999,12837695969.959095,4195237762.6178493,172176947983.46674,383.41439415275255,133387394834.14467,86.70299999999999,51789255218.22839,15425836749.61711,12.304257000000002,3.1180000000000003,10.703078999999999,0.65,3.6007845,1.6837941000000003,1.073,1.010519,120.73058405418091,76.16358881512771,116.05521240528395,108.3089757258767,0.039446134,4.95
3,CWB.TO,CDN WESTERN BANK,Canada,194826,36.61,CAD,Financial Services,Banks—Regional,0.35131,0.47741999999999996,-1668132704.1480587,0.00942,0.09961,2.510349359619124,738675427.1950644,8.473416482263795,0.258,636061546.3018843,237648242.85925028,108337616.45812376,1.2283175752698985,2272829019.770669,35.993,2520610214.357942,4842447623.501642,11.519824,0.385,10.0854,1.16,3.4123379999999996,1.0171423000000002,6.556,1.824037,29.819285187420373,18.736779990612213,28.079150191108425,27.273884146717624,0.031309042,3.46
4,LB.TO,LAURENTIAN BANK,Canada,139900,41.03,CAD,Financial Services,Banks—Regional,0.18505,0.24481999999999998,2191435385.845906,0.0038,0.06479,2.0948541540937438,729557459.161805,16.887589351572448,0.335,675147322.4703279,125283653.18849324,5515624727.740896,127.01909609065912,11282677857.504187,55.394,1404784651.5013745,7402861254.819284,15.471342000000002,4.9719999999999995,10.740836999999999,0.62,1.9255297999999998,0.7406939,10.147,1.1676520000000001,35.648856702206125,20.332407966203977,33.248910580030845,33.290081731375295,0.04454502,5.63
5,NA.TO,NATIONAL BANK OF CANADA,Canada,1374095,97.98,CAD,Financial Services,Banks—Diversified,0.32641,0.43073002,-14818012522.894115,0.00795,0.15637,5.865117682558839,6391200813.936832,19.007720780527045,0.45799999999999996,5593386977.804599,1986635871.6502376,114140324902.93301,338.2541728693086,37400886804.90846,46.553999999999995,26116457737.801914,-49124847642.64198,13.195960000000001,1.177,11.513514,0.75,4.086314700000001,2.1046526,-7.686,1.1307180000000001,80.12106216053107,49.3696774626165,77.28410671226445,72.81031343123449,0.028823707,3.98
6,RY.TO,ROYAL BANK OF CANADA,Canada,3276903,127.66,CAD,Financial Services,Banks—Diversified,0.31743000000000005,0.43449003,-14449912308.841948,0.00912,0.16864,7.774341849393146,38317187614.17823,26.910818748742706,0.086,33832052571.581837,11955360740.465364,549755455802.0733,385.86944947361366,298086216758.03925,60.044,143935743186.32065,-99886627339.08936,12.970941999999999,0.34299999999999997,11.875349,6.88,3.7564278,2.1261077,-2.6069999999999998,0.790196,106.0302688929122,71.68477167571916,102.65431505397972,97.46305002346944,0.03334105,3.83
7,TD.TO,TORONTO-DOMINION BANK,Canada,4521500,82.48,CAD,Financial Services,Banks—Diversified,0.35457,0.39792,49034752155.18272,0.008590001,0.15292,6.1376383021524825,31997868898.963318,17.66249580902568,0.451,28756059813.585457,11138589302.069334,424174006994.08026,233.22946556695496,253965531845.85794,49.248999999999995,118492267614.41425,-46172345461.21101,10.615186999999999,1.439,10.95352,0.61,3.7031300000000003,1.6747549,-1.443,0.871137,70.39721048749412,45.372708375243064,66.35238046000133,66.71751464494065,0.038099833,3.79
8,VB.TO,VERSABANK,Canada,7425,13.81,CAD,Financial Services,Banks—Regional,0.34507,0.47591000000000006,-163150590.75973982,0.00981,0.0813,0.6682679541339771,46123917.38751424,2.1833246161067517,0.163,43073266.27774424,14203458.727284918,215194919.86857098,10.187531683765839,78857198.41748808,11.064,230431530.33192512,91357809.28854018,16.323877,0.11599999999999999,10.30597,,4.995922599999999,1.2481923000000001,1.9809999999999999,1.127094,13.934097767048886,4.984362636625762,10.56789937638302,11.329367802588346,0.007117437700000001,
9,CBA.AX,CWLTH BANK FPO,Australia,2351392,102.88,AUD,Financial Services,Banks—Diversified,0.42470002,0.54885,-14533613692.448637,0.00839,0.11739001,3.2910297312395262,17527785797.5495,9.897218049779653,0.27399999999999997,17527785984.73093,6465802106.525976,115597691910.29234,65.21956675563278,182732213126.1573,42.316,133454069465.08595,200427860234.18533,22.857143,0.546,18.570396,,7.6138577000000005,2.4312315,11.435,0.662485,79.72027807088324,45.800955868661156,74.5006873688784,70.1592334802309,0.024112785,5.17
