symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
JPM,JP Morgan Chase & Co.,United States,12141239,157.68,USD,Financial Services,Banks—Diversified,0.37177,0.46907002,-73082003456.0,0.01387,0.17365,12.607,128645996544.0,41.948,0.45,102063000000.0,46058000384.0,1467996045312.0,491.272,721534976000.0,82.307,477313105920.0,-242988531712.0,12.507337,1.549,13.183946,1.39,3.7102835,1.9157543,-1.889,1.184507,167.44,91.38,157.80115,156.06386,0.022771839,2.53
BAC,Bank of America Corporation,United States,47755693,40.5,USD,Financial Services,Banks—Diversified,0.3184,0.32126,-39682998272.0,0.00957,0.1018,2.33,86760996864.0,9.979,0.342,74208000000.0,26172000256.0,747442995200.0,88.824,574665981952.0,29.067,347057455104.0,188522397696.0,17.381975,1.611,13.022509,0.52,4.0001554,1.3933327,2.173,1.551371,43.49,22.95,40.708,40.088142,0.017799754,1.86
WFC,Wells Fargo & Company,United States,27613384,46.47,USD,Financial Services,Banks—Diversified,0.22117001,0.26841,-42872999936.0,0.00922,0.09672,1.456,76442001408.0,18.501,1.447,58319000000.0,15564999680.0,476165013504.0,115.957,244546994176.0,40.309,192437846016.0,-18285012992.0,31.91621,,13.016808,0.09,2.517436,1.1528443,-0.239,1.358624,51.41,20.76,47.146572,44.351788,0.01750216,3.57
C,"Citigroup, Inc.",United States,19170087,69.96,USD,Financial Services,Banks—Diversified,0.30115998,0.37735,22150000640.0,0.0095,0.10967,7.289,71689003008.0,34.54,0.583,58369000000.0,20338999296.0,961484029952.0,474.389,581759008768.0,88.178,144610820096.0,-218191986688.0,9.598024,4.865,8.490292,0.25,2.0171967,0.79339516,-3.044,1.91048,80.29,40.49,70.97657,72.09179,0.029142857,2.34
USB,U.S. Bancorp,United States,5262823,57.01,USD,Financial Services,Banks—Regional,0.32512,0.41752,8734999552.0,0.013359999,0.13912,3.789,22641000448.0,15.089,0.465,19242000000.0,7008000000.0,47450001408.0,32.004,51043999744.0,30.534,85343961088.0,92408430592.0,15.0461855,1.877,13.045767,0.93,3.769443,1.8670989,4.081,1.164301,62.47,34.17,56.645428,57.117,0.029422067,2.84
PNC,"PNC Financial Services Group, I",United States,1608334,188.92,USD,Financial Services,Banks—Regional,0.32916,0.39064,342460000,0.0116799995,0.10995,19.129,17827000320.0,41.847,1.706,13726000000.0,5625999872.0,9271000064.0,21.814,34813001728.0,118.426,80264167424.0,103914749952.0,9.876104,-0.776,13.870778,-3.63,4.5023932,1.5952578,5.829,1.371599,203.88,101.58,189.5,186.0455,0.024223275,2.64
TFC,Truist Financial Corporation,United States,4765517,55.33,USD,Financial Services,Banks—Regional,0.25295,0.39123002,6136000000.0,0.01092,0.08165,,22143000576.0,16.462,0.21,20370000000.0,5189000192.0,36932001792.0,27.668,45937000448.0,,74410557440.0,89360646144.0,,0.735,,1.23,3.360455,,4.036,1.33024,62.69,34.86,56.215714,57.47057,,3.1
FRC,FIRST REPUBLIC BANK,United States,640662,200.04,USD,Financial Services,Banks—Regional,0.29593,0.38914,-128965000.0,0.00894,0.10873,6.402,4381595136.0,25.163,0.368,3759694000.0,1223568000.0,7917721088.0,44.794,12233228288.0,61.259,35268452352.0,41910665216.0,31.246485,0.453,25.844961,1.66,8.049227,3.2654793,9.565,1.114082,204.68,100.38,198.76743,186.60158,0.0040812264,0.68
SIVB,SVB Financial Group,United States,393239,610.41,USD,Financial Services,Banks—Regional,0.3538,0.51428,1491283968.0,0.01585,0.19908,30.383,4549392896.0,87.76,1.377,3746904000.0,1591184000.0,5204498944.0,95.82,1935516032.0,163.246,33154478080.0,28247947264.0,20.090511,2.958,23.75136,2.32,7.287671,3.7392032,6.209,2.06576,623.0,221.55,574.1157,555.08093,,
FITB,Fifth Third Bancorp,United States,4979540,40.12,USD,Financial Services,Banks—Regional,0.31978,0.41507998,-1460000000,0.012669999,0.11431,2.722,8089999872.0,11.339,0.496,6552000000.0,2470000128.0,3996000000.0,5.678,13831999488.0,28.779,28168491008.0,37563060224.0,14.739162,2.636,12.421052,-3.6,3.4818902,1.394072,4.643,1.576169,43.06,19.32,38.327145,38.750645,0.026732674,2.95
HBAN,Huntington Bancshares Incorpora,United States,14118487,14.95,USD,Financial Services,Banks—Regional,0.29073,0.36648,714000000.0,0.01086,0.10257,1.142,4474999808.0,4.4,1.006,3763000000.0,1188000000.0,9713999872.0,9.542,7600000000.0,10.73,22081896448.0,14692574208.0,13.091068,10.083,10.602837,-6.21,4.934502,1.3932899,3.283,1.370108,16.91,8.52,15.021143,15.159643,0.03986711,3.63
KEY,KeyCorp,United States,7527403,20.76,USD,Financial Services,Banks—Regional,0.32961,0.41603002,1816000000.0,0.01329,0.13194999,1.768,7162999808.0,7.425,0.62,5665000000.0,2235000064.0,3807000064.0,3.981,14314000384.0,16.177,20147974144.0,32490772480.0,11.742082,2.898,10.538071,0.73,2.8127844,1.2833035,4.536,1.537663,23.65,11.33,20.277714,20.857,0.035423648,3.36
RF,Regions Financial Corporation,United States,7314596,19.83,USD,Financial Services,Banks—Regional,0.37238,0.47349,2108000000.0,0.0172,0.1437,1.521,6922999808.0,7.215,1.894,4955000000.0,2451000064.0,3880999936.0,4.066,4124000000.0,16.869,19062282240.0,20801878016.0,13.037475,,10.0659895,0.19,2.7534714,1.1755291,3.005,1.540393,23.81,10.6,19.990858,20.795286,0.03125,3.03
