symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
ITUB4.SA,ITAUUNIBANCOPN      N1,Brazil,32569795,27.82,BRL,Financial Services,Banks—Regional,0.25373,0.4273,-12326476285.2683,0.01444,0.19,0.5379316236560874,20805592173.614662,2.1298902303389804,0.744,14092745208.65907,5279059179.883621,67126766739.941,6.863802446847951,111640087641.18054,14.658,49816716291.58175,98275429963.25795,9.819979,3.878,9.211921,,2.3943906,1.8979397,4.724,0.981157,6.520498396170152,4.211550798691146,5.705531036928384,5.560193988620061,0.016175438,2.84
ITUB3.SA,ITAUUNIBANCOON      N1,Brazil,1156260,25.86,BRL,Financial Services,Banks—Regional,0.25373,0.4273,-12326476285.2683,0.01444,0.19,0.5379316236560874,20805592173.614662,2.1298902303389804,0.744,14092745208.65907,5279059179.883621,67126766739.941,6.863802446847951,111640087641.18054,14.658,49816585629.45244,94635687023.29825,9.128133,3.878,,,2.3943844,1.7642244,4.549,0.981157,5.72489885394671,4.006479794967682,5.247647740292397,4.999302577410983,0.017343868,2.83
BBDC4.SA,BRADESCO    PN      N1,Brazil,37535928,20.02,BRL,Financial Services,Banks—Regional,0.23076001,0.40187,-22168388849.264496,0.01355,0.15037,0.4118509324779574,17341911786.38985,1.7843076129531423,0.613,11636691255.82295,4001881586.5890813,77151320850.4328,7.945741872048227,93411911742.22667,15.087,34317179415.941586,53303422768.09362,9.230061,0.704,5.576602,,1.9788579,1.3269702,3.074,1.173171,5.474256516062477,3.312552557584745,4.299058773352247,4.614540765002659,0.048242655,2.5
BBDC3.SA,BRADESCO    ON      N1,Brazil,7168073,17.28,BRL,Financial Services,Banks—Regional,0.23076001,0.40187,-22168388849.264496,0.01355,0.15037,0.4118509324779574,17341911786.38985,1.7843076129531423,0.613,11636691255.82295,4001881586.5890813,77151320850.4328,7.945741872048227,93411911742.22667,15.087,34317076752.83999,48251660861.77276,7.9668055,0.704,,,1.978852,1.145357,2.782,1.173171,4.665365334708812,3.058803014232982,3.694316155966408,3.9888376124695757,0.056323774,1.52
SANB11.SA,SANTANDER BRUNT,Brazil,2303204,35.83,BRL,Financial Services,Banks—Regional,0.29531,0.63791,2975295680.159899,0.0174,0.15029,0.3955212044036816,10005725542.108673,1.33960734376763,1.901,6847593292.928641,2954796891.9989038,23168473675.967697,3.1028382146714164,47141371862.009384,14.203,26276714183.94236,74835614598.76529,17.201153,0.949,10.036415,,2.6261678,2.5227065,7.479,0.916105,8.962362384951403,5.020441980044811,7.524017150502104,7.64017392414449,0.03478499,5.23
ITSA4.SA,ITAUSA      PN      N1,Brazil,29796118,10.88,BRL,Financial Services,Banks—Regional,1.5062,0.22323,337038004.38304937,0.01426,0.19902,0.2521613823562598,1407774488.7544932,0.16728477248182594,0.887,351658795.27394056,2120396117.3223295,1235552760.976805,0.14696755266848274,1607908525.0297394,7.266,17418907557.08635,18427275429.486614,8.192772,4.876,8.119403,,12.373365,1.4973851,13.09,1.056527,2.3450249036896147,1.663353696868099,2.1476034281661533,2.073336394526024,0.023111511,4.38
ITSA3.SA,ITAUSA      ON      N1,Brazil,145996,10.98,BRL,Financial Services,Banks—Regional,1.5062,0.22323,337038004.38304937,0.01426,0.19902,0.2521613823562598,1407774488.7544932,0.16728477248182594,0.887,351658795.27394056,2120396117.3223295,1235552760.976805,0.14696755266848274,1607908525.0297394,7.266,17418888891.067875,18586980328.033657,8.268072,4.876,,,12.373352,1.5111477,13.203,1.056527,2.424774738470962,1.9026032012121408,2.173969483067103,2.171304129660375,0.022966936,3.63
BBAS3.SA,BRASIL      ON      NM,Brazil,11565648,28.94,BRL,Financial Services,Banks—Regional,0.23062,0.32716,-9898688370.182627,0.00984,0.13473,1.0568751914118537,13201088913.551798,4.626629700672158,0.333,10964858140.52451,3016960955.517658,15496176992.315157,5.430773868050742,157673824189.0527,50.201,15679842836.574413,158344344904.6129,5.199425,0.721,5.205036,,1.1877689,0.57648253,11.995,0.902646,7.701555473170103,5.130572704266671,5.698912560163768,5.928004593884492,0.06532066,3.41
BIDI3.SA,BANCO INTER ON      N2,Brazil,688553,19.4,BRL,Financial Services,Banks—Regional,0.02042,-0.00825,-1127525609.5398057,0.0023700001,0.0092400005,0.002278566708038492,250070423.71669433,0.10842179919083157,1.191,167719598.9619433,5107217.395509277,1342424174.770064,0.521222134463805,893776893.3425748,3.354,9581480385.517498,9061224229.661987,1616.6666,31.271,,,38.31513,5.784138,36.235,0.975105,5.525524266993343,0.9778848788665195,4.351086046519125,4.186304089685521,0.0044563278,
BIDI4.SA,BANCO INTER PN      N2,Brazil,5123475,19.89,BRL,Financial Services,Banks—Regional,0.02042,-0.00825,-1127525609.5398057,0.0023700001,0.0092400005,0.002278566708038492,250070423.71669433,0.10842179919083157,1.191,167719598.9619433,5107217.395509277,1342424174.770064,0.521222134463805,893776893.3425748,3.354,9581473385.76057,9300819687.270266,1657.4999,31.271,16.303278,,38.3151,5.930232,37.193,0.975105,5.497042183142861,1.038646657747546,4.143899203726688,4.149956963200568,0.004770993,
