symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
601398.SS,INDUSTRIAL & COMMERCIAL BK OF C,China,197376759,4.7,CNY,Financial Services,Banks—Diversified,0.52322,0.65774,-243682745903.04977,0.0095999995,0.11047,0.13322287096943872,93897182015.33006,0.2625729840618589,0.031,93190327705.01288,47759315435.45105,676300009080.5197,1.8974964494240176,205239908650.51178,8.355,247302757324.88345,-218389711256.17798,5.465116,0.015,5.2808986,,2.6337612,0.56253743,-2.326,0.564534,0.8736941770553889,0.6986455210141496,0.7202469279364577,0.7855469546578296,0.05683761,4.59
600036.SS,CHINA MERCHANTS BANK CO LTD,China,63375165,51.25,CNY,Financial Services,Banks—Regional,0.43460998,0.54613996,70082978084.5868,0.01245,0.14501001,0.6134448477197412,36200060919.2741,1.4361735311135657,0.145,34949471095.68144,15477244499.946344,164841148081.8305,6.536130924201776,171437379161.92517,28.59,200797873399.61072,193296045560.2167,12.941919,0.152,14.002732,,5.546893,1.7925848,5.34,0.838139,9.12731576455736,5.545789279890589,7.8345461201409705,8.10114863131871,0.024714004,2.87
601939.SS,CHINA CONSTRUCTION BANK,China,95604340,6.07,CNY,Financial Services,Banks—Diversified,0.48104998,0.59087,114570274216.28319,0.00976,0.11474,0.1660638577665562,88011980735.36372,0.3522660564936089,0.042,86586036242.17557,41467323019.10262,780617381191.9751,3.12237231076745,343060218757.4604,9.539,181261787259.6707,-192486326200.46918,5.6623135,0.028,5.3716817,,2.0595126,0.6363351,-2.187,0.662177,1.181965704066067,0.8736941770553889,0.9204685101783178,1.0282145209089473,0.053884298,4.43
601288.SS,AGRICULTURAL BANK OF CHINA,China,182504657,2.98,CNY,Financial Services,Banks—Diversified,0.43797,0.53086,-207471383044.44373,0.00797,0.10142,0.09155199621271894,76964866759.96843,0.21842354426384722,0.015,76623753879.33301,32232034536.906,652102559508.8317,1.8632612697911735,390189178869.22723,6.241,157871001234.80508,-88630391992.91357,5.042301,0.026,4.65625,,2.0512087,0.47748756,-1.152,0.642536,0.5344405870285623,0.44923991373415384,0.4584054613644732,0.4892457814423228,0.062289562,5.03
601988.SS,BANK OF CHINA LTD,China,118094970,3.07,CNY,Financial Services,Banks—Diversified,0.42209,0.54619,-136201947520.90894,0.00827,0.09709,0.09604439535006049,71301034253.5332,0.24413865656725053,0.082,69827373625.79558,28231939885.17805,440535656186.11536,1.4687046972805216,785389566065.2211,6.867,130662235841.12775,505784673245.7966,4.951613,0.027,4.796875,,1.8325434,0.44706565,7.094,0.602693,0.52979327757614,0.4585345326389984,0.47023887444111295,0.49059988348850664,0.06459016,5.02
601658.SS,POSTAL SAVINGS BANK OF CHINA CO,China,149952005,5.15,CNY,Financial Services,Banks—Regional,0.27168,0.63238996,-134522417915.35425,0.0057599996,0.09349,0.11153542685813475,37236567790.5886,0.4272426489926884,0.07,36580366892.8515,9716284604.03766,371362934721.7337,4.019767766030193,34093745414.692543,7.597,71453093941.21718,-260678933739.86847,7.1527777,0.055,,,1.9188958,0.6778992,-7.001,0.564227,1.0007206354215978,0.6924491084109199,0.8001548424596285,0.8254986812108778,0.039770555,
601166.SS,INDUSTRIAL BANK CO LTD,China,111261447,18.68,CNY,Financial Services,Banks—Regional,0.52407,0.60159,-62947187903.054016,0.0091699995,0.11562,0.49865630424491075,20541572956.793434,0.989257272105623,0.154,19724110777.970646,10370470953.85198,235470182677.39728,11.334787754457944,255647400703.87878,28.132,60114814800.72799,90115303878.28519,5.8030443,0.137,5.968051,,2.9264953,0.66401255,4.387,0.797082,4.348332544316448,2.463074009783809,2.885247683446426,3.272041700068381,0.04311828,3.82
000001.SZ,PING AN BANK,China,98229126,18.53,CNY,Financial Services,Banks—Regional,0.35229,0.45299,-7082499367.549313,0.00701,0.08417,0.22167666088054283,13416937507.657671,0.667663457998001,0.12,13001777655.041817,4464205440.1683235,125439242419.90425,6.463942717374151,132788807527.56613,18.173,55704408736.43259,80183795121.22455,12.948987,0.185,11.95484,,4.151798,1.0196445,5.976,0.923968,3.9207800746935977,2.2864762505917624,2.9391219280942606,3.323030585187523,0.009433962,
601328.SS,BANK OF COMMUNICATIONS CO LTD,China,85723706,4.5,CNY,Financial Services,Banks—Diversified,0.43927,0.48584998,-5187481651.70901,0.00774,0.09765001,0.16126163799905316,29548368357.418335,0.397964599442428,0.174,28410861606.438374,12447508775.710903,137877923855.62042,1.8566001262427012,373861310517.0017,11.375,49029508239.869545,296966823900.23456,4.3227663,0.333,4.3689322,,1.6592966,0.3956044,10.05,0.527366,0.7714533691020987,0.6583688390931566,0.6840581588290988,0.7270385679343537,0.07028825,5.27
600000.SS,SHANGHAI PUDONG DEVELOPMENT BAN,China,39728952,9.11,CNY,Financial Services,Banks—Regional,0.50412,0.57054,-14824607630.024721,0.007850001,0.0968,0.27403634737783383,18333015890.77481,0.6328086371048339,0.07,17987721056.230602,8652980359.951607,211970128498.0022,7.221609068434064,295901634519.06366,21.319,41422648252.40124,131375580343.40538,5.1498017,0.077,4.6243653,,2.2594564,0.42731833,7.166,0.52186,1.741191941507548,1.381800010520225,1.4236257955920255,1.5504030032612695,0.05263158,2.81
002142.SZ,BANK OF NINGBO CO.,China,32658384,35.09,CNY,Financial Services,Banks—Regional,0.46091,0.50886,1407515142.6521485,0.0100300005,0.13781,0.3897543527431487,5304593968.881173,0.8885655673031402,0.226,5025910262.479616,2328301976.178002,73048578539.12787,12.158445899742253,69904674953.67523,18.046,32666784838.72284,35546464666.224815,13.946741,0.183,13.548263,,6.1582065,1.9444753,6.701,0.74687,6.90590184629951,4.8037688706538315,5.310928202093524,5.948545255378464,0.014880953,1.86
601998.SS,CHINA CITIC BANK CORPORATION LT,China,20662921,4.64,CNY,Financial Services,Banks—Regional,0.43826,0.52077997,45179437759.24254,0.00686,0.09008,0.13647598758613433,17732584183.691544,0.36109594445321125,0.073,17206198516.648254,7305260896.348429,171570149665.0318,3.5060851612224497,195274364634.8745,11.446,31484170008.38672,60236996556.72189,5.266742,0.082,,,1.7754982,0.40538177,3.397,0.66386,0.8721450739045814,0.6955473147125348,0.7184396512545368,0.7870743703645258,0.05427351,3.98
601818.SS,CHINA EVERBRIGHT BANK CO LTD,China,92299442,3.4,CNY,Financial Services,Banks—Regional,0.44019002,0.5357,-28118390039.282516,0.00714,0.08947,0.09418547156909157,13551709263.664192,0.24878596601967282,0.084,13256295302.719477,5621540334.736731,123468791302.1135,2.2850820577560356,156895953258.82486,7.366,26459845036.107513,71346937436.7261,5.5921054,0.063,5.151515,,1.9525098,0.46158025,5.265,0.585322,0.7296275840302981,0.5050076271632212,0.5260496064646782,0.5792670778496659,0.061403506,4.32
600016.SS,CHINA MINSHENG BANKING CORP,China,76563297,3.97,CNY,Financial Services,Banks—Regional,0.36437,0.38215,-23810645583.79885,0.0046900003,0.05954,0.10317026984377466,13777103385.450527,0.31539740150439216,-0.099,14246017305.770342,4503088058.138971,112707791771.11356,2.5742996160117824,234977719642.93512,11.77,25251834471.44495,156092589177.78546,5.960961,-0.114,3.201613,,1.8328842,0.3372982,11.33,0.328912,0.8535558360948923,0.6103466414181262,0.6242455047078006,0.7061310198043237,0.053517587,4.28
