symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
BBCA.JK,Bank Central Asia Tbk.,Indonesia,13805511,32600,IDR,Financial Services,Banks—Regional,0.45516,0.56563,-2766080233,0.02791,0.16463,0.078608761,4531009839,0.183776405,0.173,4363118563,2062334913,17153924886,0.695758161,136504822.6,7248.56,56483128395,40167613572,29.143574,0.311,27.057535,,12.465903,4.497445,8.865,0.605216,2.593119329,1.893890675,2.268846243,2.234922902,0.016307693,1.27
BBRI.JK,Bank Rakyat Indonesia (Persero),Indonesia,127882997,3610,IDR,Financial Services,Banks—Regional,0.28186,0.26484,4378860877,0.0148,0.10823,0.009830312,5223018006,0.042603334,0.136,4942237443,1472178131,10306301394,0.084066118,5851758939,1563.029,30847436372,29716451243,25.806913,1.802,11.988975,,5.906056,2.309618,5.69,0.927055,0.347857471,0.21082271,0.262487485,0.28571558,,3.33
BMRI.JK,Bank Mandiri (Persero) Tbk.,Indonesia,37389325,6050,IDR,Financial Services,Banks—Regional,0.265,0.37631,-9308024595,0.01413,0.106979996,0.025793456,5125376852,0.109937367,0.633,4498872647,1358228671,12364368453,0.265151863,7469871050,4056.14,19825722363,15813581294,16.483217,1.769,10.028843,,3.8681493,1.491566,3.085,0.945623,0.523543062,0.34153279,0.421698687,0.427744211,0.057453986,3.49
ARTO.JK,Bank Jago Tbk.,Indonesia,20276300,15850,IDR,Financial Services,Banks—Regional,-2.53743,-2.51176,-48517544.92,-0.0387,-0.046,-0.001311247,5603316.041,0.000516656,2.98,3420668.739,-14218024.22,21617971.62,0.001989956,4580193.534,749.535,15433681966,7598141012,,,,,2754.3835,21.146444,1356.008,,1.338724206,0.150946277,1.097662282,0.900603133,,
BBNI.JK,Bank Negara Indonesia (Persero),Indonesia,24711785,5300,IDR,Financial Services,Banks—Regional,0.13609,0.17551,3619818848,0.00445,0.03373,0.005328685,1988368348,0.106772075,0.786,1914218623,270605007.1,7988099031,0.42924853,3771579327,6180.822,6931172576,3065467596,69.89594,11.973,5.739969,,3.4858594,0.85749114,1.542,1.378426,0.474351097,0.30288196,0.36971701,0.380873804,,2.95
BRIS.JK,Bank Syariah Indonesia Tbk.,Indonesia,86027524,2150,IDR,Financial Services,Banks—Regional,0.19574,0.32488,1301069279,0.00422,0.04385,0.002391221,224770170.7,0.022945873,0.287,145430775.7,43997083.75,1336372257,0.032569649,19216348.97,548.31,6199388283,5055239550,63.185116,0.659,,,27.581009,3.9211395,22.491,1.803014,0.279691462,0.049894708,0.158031846,0.159249502,,
BNLI.JK,Bank Permata Tbk.,Indonesia,2290808,1800,IDR,Financial Services,Banks—Regional,0.16787,0.27511,-893825116.1,0.00654,0.04138,0.003041047,508036505.3,0.018116487,0.27,464446716.1,85283199.69,3436560633,0.122547236,740772962,1262.811,3547223025,1235723753,41.595417,283.404,,,6.9822206,1.4253914,2.432,1.288363,0.263528387,0.079409887,0.129805032,0.145348569,,
AGRO.JK,Bank Rakyat Indonesia Agroniaga,Indonesia,130711177,2390,IDR,Financial Services,Banks—Regional,0.08442,0.17674999,81691063.02,0.00126,0.00777,0.0001026,26989594.55,0.001264515,0.107,25829670.63,2278530.361,190040429.1,0.008903957,74297193.72,200.892,3584723081,3273993384,1636.9862,0.07,,,132.81871,11.896939,121.306,2.113174,0.205200771,0.020098432,0.163313074,0.109008482,,
BANK.JK,Bank Aladin Syariah Tbk.,Indonesia,48606243,3220,IDR,Financial Services,Banks—Regional,0.49378,0.37363,,0.04587,0.05049,0.00023577,6300155.82,0.000477513,-0.333,6264667.092,3110899.85,2646949.457,0.000200633,,87.683,2985374768,3195962343,959.76154,-0.297,,,473.8573,36.723198,507.283,,0.279691462,0.009768119,0.239507388,0.222238478,,
BBHI.JK,Allo Bank Indonesia Tbk.,Indonesia,23335750,3600,IDR,Financial Services,Banks—Regional,0.32875,0.38145,-26943136.65,0.01442,0.148,0.000762194,9701553.721,0.002318488,0.118,9419803.608,3189413.132,3115424.746,0.000744556,113087413.7,74.82,1058607496,792185952.3,331.91962,17.142,,,109.11732,48.11548,81.656,1.878998,0.308503898,0.009487022,0.182414884,0.134505852,,
