symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
8306.T,MITSUBISHI UFJ FINANCIAL GROUP ,Japan,44990865,642.1,JPY,Financial Services,Banks—Diversified,0.27861,0.49284,,0.0038800002,0.07758,0.927330761515315,42959964505.69974,3.3407629195278137,0.039,42195231077.84892,11968937950.122118,1306965426559.5276,101.83675940128076,783625171763.1998,1353.303,74897628876.9501,-439943549657.0696,6.2932467,1.088,8.625738,,1.7434286,0.47446874,-10.241,1.0,6.001337859733044,3.6791482138723857,5.502128617082015,5.471708659825629,0.039432175,3.79
8316.T,SUMITOMO MITSUI FINANCIAL GROUP,Japan,5567041,3971.0,JPY,Financial Services,Banks—Diversified,0.27563998,0.38514,,0.0035299999,0.07171,5.333901473651723,26964211597.63055,19.675535683975,0.133,26046260751.48522,7313134333.728569,805622025215.7628,587.8325430136563,453867321846.0056,8717.677,49463595526.97624,-301635470671.1603,6.766463,1.361,7.3105173,,1.8344165,0.45551127,-11.187,0.95553,39.572656430830946,25.925815909266255,34.87945844147828,35.39777935035876,0.048004042,4.6
8411.T,MIZUHO FINANCIAL GROUP,Japan,6535268,1626.0,JPY,Financial Services,Banks—Regional,0.24625,0.23008,,0.0027200002,0.066810004,2.1477391250675097,22115560519.94309,8.722380618779413,-0.024,22262773057.634438,5445884767.664717,685820707544.6271,270.505273373968,415882318284.32196,3688.015,37468113301.36526,-231435375627.7403,6.8809085,1.047,77.09815,,1.6941968,0.4408876,-10.465,0.691562,15.74635444795926,11.415538924465702,14.419388936038883,14.559757347426894,0.0464828,4.0
6178.T,JAPAN POST HLDGS CO LTD,Japan,5376390,977.5,JPY,Financial Services,Banks—Regional,0.04251,0.08687,,0.0020299999,0.03938,1.1254667078157548,106720901025.3505,26.473516379908954,0.03,105965667124.45026,4537004224.206403,671879323356.3721,178.3448010184399,238085353976.6919,3562.825,33469939285.492657,-377018125241.47894,7.8938866,1.027,9.651462,,0.31362122,0.27436092,-3.533,0.50228,10.006774168659824,6.495768844996527,8.672511618856568,8.58740786729419,0.05063804,4.5
7182.T,JAPAN POST BANK CO LTD,Japan,1971466,980.0,JPY,Financial Services,Banks—Regional,0.22287,0.31495002,,0.00164,0.03326,0.6791791219813286,14996200469.442293,3.98748591929635,0.427,15496539557.132935,3342226215.9495096,640251069791.3407,170.78977740915047,192982472326.57132,3033.031,33390225451.45343,-414488568701.84503,13.114404,2.637,11.916343,,2.226579,0.32310912,-27.64,,10.443036802715838,7.32557673019057,8.754077371344803,8.91834206851323,0.0508647,4.28
8421.T,SHINKIN CENTRAL BANK NON-CUM PR,Japan,50,240400.0,JPY,Financial Services,Banks—Regional,0.17257,0.22959,,0.00071999995,0.02016,40.002693233546786,1779397151.3733814,265.2561522722012,0.527,1579634287.4778178,287769741.15256536,207321212954.00882,30905.540290101068,69538873114.43942,255608.42,14657117065.885654,-123055001121.0957,54.62004,0.161,,,8.237125,0.9405011,-69.155,0.124857,2215.850628809505,2085.8807190803177,2184.3773699560215,2175.5230562456595,0.026993355,2.76
8309.T,SUMITOMO MITSUI TRUST HOLDINGS ,Japan,938668,3862.0,JPY,Financial Services,Banks—Regional,0.14628,0.18698,,0.0027599998,0.06266,3.4484743461152685,10217270703.453127,27.27919348815677,0.24,9656727937.65913,1494563059.8764908,180678451317.43484,482.39289956021906,141801087396.31323,7194.806,13146890506.851505,-26161340780.187202,10.178694,0.78,7.997184,,1.2867321,0.5367761,-2.561,0.709806,37.91849394336856,25.171445104544397,33.51431813131702,33.834378577270265,0.038540594,3.69
8308.T,RESONA HOLDINGS,Japan,9015742,448.2,JPY,Financial Services,Banks—Regional,0.18037,0.27385,,0.00204,0.05723,0.49256778026386844,6897821017.399521,2.949544402438083,0.19,6911336270.349509,1244166493.6816602,233059320140.7111,96.3466304606126,102151216202.02884,1008.947,9916288854.294575,-121471808182.3069,8.270136,0.569,6.173554,,1.4375973,0.44422552,-17.61,0.86716,4.553491242959647,3.046567394491165,3.9186251344803633,4.053892908571869,0.04663558,4.21
7186.T,CONCORDIA FINANCIAL GROUP LTD,Japan,3836239,456.0,JPY,Financial Services,Banks—Regional,0.13235,0.19353001,,0.00169,0.03091,0.3100645783504359,2377376885.3558826,1.9705437852017589,0.175,2329397068.127459,314636241.3863127,39462610277.28205,32.70670056322814,17063604260.722101,950.381,5000001814.26001,-17642611842.50252,13.366553,0.813,9.249493,,2.1031592,0.4798076,-7.421,0.873432,4.571668852711981,3.099282462772934,3.9377896066661515,3.876407090502275,0.03524229,
8331.T,CHIBA BANK,Japan,1833895,732.0,JPY,Financial Services,Banks—Regional,0.23547001,0.33927,,0.00298,0.05156,0.6063141732890979,2006626370.8076842,2.700783812977393,0.082,1901368891.289252,472508794.8823701,34733657418.45153,46.73800661985957,19181577029.21342,1402.248,4942650537.594814,-10972593649.628761,10.972868,0.181,9.918698,,2.4631643,0.5220189,-5.468,0.91863,7.425553583828407,4.853421803873157,6.258810977548028,6.32161325592161,0.027285129,2.5
