symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
5819.KL,HLBANK,,858993,,MYR,,,,,,,,,,,,,,,,,,9353951534.57387,,17.542215,,,,,,,,4.8136426536426535,3.4711925111925113,4.461454934065934,4.424922310948311,0.021831734,
5258.KL,BIMB,,434173,3.98,MYR,,,,,,,,,,,,,,,,,,1515757111.221815,,11.274788,,9.95,,,,,,1.097932437932438,0.7431420431420431,0.9337562512006512,0.9426152714692715,0.030653266,
1066.KL,RHBBANK,,2539050,,MYR,,,,,,,,,,,,,,,,,,3943323788.034188,,9.2082615,,,,,,,,1.4335449735449737,0.9996459096459096,1.2857384800162799,1.2784457155067155,0.022304831,
1171.KL,MBSB,,4914147,,MYR,,,,,,,,,,,,,,,,,,430931712.1041921,,10.333334,,,,,,,,0.1845868945868946,0.11626577126577126,0.14886813186813186,0.15074904115995116,0.048,
1082.KL,HLFG,,156226,,MYR,,,,,,,,,,,,,,,,,,5051503339.68254,,14.153847,,,,,,,,4.502002442002443,3.26023606023606,4.272005253561253,4.210344600732601,0.020540541,
1015.KL,AMBANK,,3312464,,MYR,,,,,,,,,,,,,,,,,,2359922409.181929,,7.5750575,,,,,,,,0.9085510785510785,0.6304721204721204,0.7244436304436304,0.7126653804232804,0.049050633,
1295.KL,PBBANK,,18119698,,MYR,,,,,,,,,,,,,,,,,,3758296784.5925927,,3.06184,,,,,,,,1.1914245014245013,0.7114985754985755,0.966153216931217,0.9925044824175824,0.13965087,
5185.KL,AFFIN,,207150,,MYR,,,,,,,,,,,,,,,,,,782494028.2686203,,7.179487,,,,,,,,0.48903540903540904,0.32362637362637364,0.40540625482295484,0.41465413015873015,0.04705882,
1155.KL,MAYBANK,,5626741,,MYR,,,,,,,,,,,,,,,,,,19794571015.60602,,12.079062,,,,,,,,2.1599063899063897,1.6684737484737484,1.9654565620675621,1.9709275258445258,0.06513873,
1023.KL,CIMB,,9679256,,MYR,,,,,,,,,,,,,,,,,,10085900888.14652,,13.278237,,,,,,,,1.1962189662189662,0.6951973951973952,1.134781256003256,1.076994291005291,0.029166665,
2488.KL,ABMB,,535043,,MYR,,,,,,,,,,,,,,,,,,932333802.5364265,,7.45614,,,,,,,,0.7335531135531136,0.5154049654049654,0.5908150645095644,0.6078576608465609,0.058,
