symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
PKO.WA,PKOBP,Poland,1558975,42.31,PLN,Financial Services,Banks—Regional,-0.31145,-0.13859999,2876846530.699502,-0.00503,-0.04538,-0.38834599598288355,1554927113.5237095,1.2439931010392102,0.155,1437908916.2518556,-484275188.9337175,3377067018.9992137,2.7017050912584053,11382909723.699238,32.471,13601754946.062351,20166729396.056236,,1.34,,,8.7475195,1.3030088,12.97,1.015813,11.364906995022267,4.683298401886297,10.497058110208714,9.507777804558552,0.030701756,
ING.WA,INGBSK,Poland,7590,235.0,PLN,Financial Services,Banks—Regional,0.27249,0.3824,-547773608.788752,0.00795,0.08343001,2.8781324775128807,1374101926.4413586,10.561982359619245,0.161,1297152781.41647,374432415.8798358,844202496.0894244,6.488978691817308,3156018544.0712595,134.975,7862977794.526241,8829722477.70151,20.999018,0.443,,,5.7222667,1.7410631,6.426,1.036624,61.33809274299187,25.589686490262856,56.03084062963932,49.12928418042092,0.016309014,
SPL.WA,SANPL,Poland,50633,294.2,PLN,Financial Services,Banks—Regional,0.14928001,0.3798,1322314713.2791893,0.00527,0.0425,2.5643694873810143,1753853886.2282767,17.18238145140162,-0.012,1727141812.9421008,261808464.141123,3335215932.875731,32.6375233604052,6651580903.00585,267.977,7731944378.5171585,10821656675.797745,29.505568,-0.112,,,4.4085455,1.0978554,6.17,1.274455,79.31516898087501,30.861933455593395,72.61127292812854,63.60165868046458,0.06709765,
PEO.WA,PEKAO,Poland,495751,103.35,PLN,Financial Services,Banks—Regional,0.20653,0.33823,1343028518.7878785,0.00588,0.056020003,1.13700506505982,1750916817.745175,6.670806916426511,0.244,1630969084.3594444,361622392.6783686,2902790438.1171947,11.05963103659069,4554830822.335167,96.363,6976410538.06305,8654954196.070211,23.377064,0.684,,,3.984433,1.072507,4.943,0.95379,28.598725002183212,10.493057374901753,26.710859383459958,23.065283206706834,0.009469697,
BNP.WA,BNPPPL,Poland,13114,79.0,PLN,Financial Services,Banks—Regional,0.18145001,0.34914002,112736585.4510523,0.0066799996,0.06688,1.3604968998340754,1108365898.5800364,7.518481355340144,0.083,1086431871.888918,201116933.01895028,1510506471.050563,10.246419090035804,3217852756.796786,82.11,2997208532.047856,4126234248.3276563,14.933838,0.425,,,2.7041688,0.962124,3.723,1.14279,21.03755130556283,8.20413064361191,18.882932108112826,17.61971819491747,,
MIL.WA,MILLENNIUM,Poland,1354820,6.58,PLN,Financial Services,Banks—Regional,-0.16549,0.39148,-1406589946.366256,-0.00542,-0.063779995,-0.06506724303554273,871153407.8211509,0.7180543184001396,0.218,813771061.9159898,-144165094.62579685,795710646.1130031,0.6558160859313595,690412560.2305474,7.161,2051851580.2497594,1518624130.671557,,,,,2.3553276,0.9188661,1.743,1.277188,1.773275259802637,0.5349401798969522,1.5509907695834422,1.2337524942799754,,
BHW.WA,HANDLOWY,Poland,37361,46.4,PLN,Financial Services,Banks—Regional,0.22606,0.42855,3945540475.4728837,0.00884,0.06967,1.064736704217972,596509984.0363287,4.565251506418653,-0.114,483217122.5220504,134847621.79023665,5317740714.264256,40.699174744563784,783792573.9376472,58.244,1559202552.95782,-2973070187.644747,11.20773,-0.186,,,2.613875,0.7966486,-4.984,0.705697,12.820561523011088,7.021089861147497,11.948998147323376,11.379438336389834,0.08060344,
ALR.WA,ALIOR,Poland,350407,44.71,PLN,Financial Services,Banks—Diversified,-0.14193,0.058330003,-1135313584.2109857,-0.00352,-0.04118,-0.5421412977032573,498816541.9124966,3.820707361802462,-0.01,500423421.97188014,-70794707.63426773,577595223.5018774,4.424058160859313,1060709213.6721683,50.141,1501193705.688586,1695216146.823858,,0.499,6.5174923,,3.0095108,0.8916854,3.398,1.431154,12.203322853899222,2.8598725002183207,11.020853531569292,8.399823077460482,,
BOS.WA,BOS,Poland,39246,10.8,PLN,Financial Services,Banks—Regional,0.10877,0.18243,-151164070.8828923,0.00282,0.024600001,0.14968037725962796,129804518.50842719,1.391358833289669,0.056,131003506.68063922,14119334.555933977,800236799.664658,8.613051261898523,413967062.887084,20.613,258064146.23700982,-188898504.27735567,18.556702,-0.706,,,1.9880984,0.5239412,-1.455,1.109195,3.0090385119203558,1.1830407824644134,2.2780679600034928,2.1214521347480564,,
GNB.WA,GETINOBLE,Poland,11009769,0.49,PLN,Financial Services,Banks—Regional,-2.30325,-2.31443,18640093.441620816,-0.01074,-0.25215998,-0.1327063138590516,60038805.34451139,0.05735175967164439,-0.236,69490786.83084446,-138284357.320758,747051697.2840799,0.7152253078333769,448424156.4649375,1.826,131633734.10881144,-245327846.02218142,,,,,2.1924775,0.26834613,-4.086,0.878535,0.16099641952667887,0.03996620382499345,0.08397589445026635,0.056682724390882885,,
