symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
105560.KS,KBFinancialGroup,South Korea,1398357,52100,KRW,Financial Services,Banks—Regional,0.31886,0.43365002,-25462371398.39012,0.00695,0.09770001,,10648580343.687654,27.32967477962287,0.389,9822964583.844301,3367247343.531909,64271540250.97062,164.9534808766032,106266433062.59003,,17250240002.388885,61131626789.68071,,0.741,,,1.6199567,,5.741,0.707464,50.816152814046426,31.356455498968447,44.55700065644252,45.67654083649532,,3.83
055550.KS,ShinhanGroup,South Korea,1327790,38700,KRW,Financial Services,Banks—Regional,0.56905997,0.82436997,,,,,6052091846.519019,11.715391255608615,1.903,9849525796.02672,3371487835.222322,64162305042.45809,124.20276727309451,107693041749.27892,,16988696383.364552,62790862844.85027,,0.434,,,2.8070784,,10.375,0.668435,36.75248510380448,23.02872477024512,32.892110289556065,33.0447032086333,,3.93
086790.KS,HANAFINANCIALGR,South Korea,1032451,44400,KRW,Financial Services,Banks—Regional,0.0,0.60275,,,,,15259286829.017263,52.15266606985702,,14681129004.66002,2540614768.228852,31660054499.16791,106.41965459581897,69742831313.10059,,11000590161.565582,50018391383.52376,,,,,0.72091115,,3.278,,40.788885201910176,23.241166880671734,37.497855243605095,37.241845505172186,,4.54
316140.KS,WooriFinancialGroup,South Korea,2758415,11050,KRW,Financial Services,Banks—Regional,0.21548,0.33296,-23097460142.52232,0.00422,0.06328,,5742532834.45509,7.950698668359471,-0.051,5812382150.534532,1189655397.406478,22973121690.859447,31.80693474528588,54444762563.44169,,6782054309.668524,41491216136.92101,,0.287,,,1.1810215,,7.225,0.57206,10.28219814464819,6.866129008988213,9.383871384877295,9.258256914287363,,
024110.KS,IBK,South Korea,1207963,10200,KRW,Financial Services,Banks—Regional,0.32944,0.45057,,,,,5200583026.834169,6.987207415636316,0.197,5453192678.141186,1713303103.888275,13100030064.143166,17.600456650267628,148649145080.62576,,6402472385.334976,142135735587.40262,,0.479,,,1.2311066,,27.331,0.608753,9.47491812502705,6.611198476476274,8.733677010084689,8.503330278591317,,4.99
138930.KS,BNK Financial Group,South Korea,1222780,7960,KRW,Financial Services,Banks—Regional,0.15369001,0.38307998,-10140165082.141266,0.0054699997,0.064899996,,3175859625.511128,9.930895373162322,0.139,3087326146.1247816,453520151.9043642,20064639813.253296,61.84550136338061,16887587521.609026,,2194509026.404859,-244726753.6639649,,0.4,,,0.6909969,,-0.077,0.937413,7.112561857083087,4.19360725982139,6.622852540793213,6.319305905962806,,3.82
175330.KS,JB Financial Group,South Korea,475916,8210,KRW,Financial Services,Banks—Regional,0.2316,0.3525,-2975221950.7267036,0.0083099995,0.107609995,,1465270984.2984953,7.638889734970352,0.179,1403580380.303839,319472882.2243908,8055023807.459472,41.44722970582718,8499693581.3966675,,1355860128.1867933,1860614635.3628092,,0.371,,,0.92533064,,1.27,0.587853,7.2655201765902495,3.768723038968159,6.773625765729372,6.1998034798666914,,3.06
139130.KS,DGB Financial Group,South Korea,521339,9210,KRW,Financial Services,Banks—Regional,0.12,0.32143003,-4360650241.567475,0.0052300002,0.07243,,2603382109.220446,15.462708627530189,0.0,2603433900.3618803,301673498.54809344,21392782482.976273,126.47537949590985,18922337426.976273,,1323798705.2236664,-437039656.70855397,,0.4,,,0.5084919,,-0.168,0.79694,8.319233044306262,4.435791265707731,7.841906213841559,7.537386594145398,,4.4
010050.KS,WIB,South Korea,5411730,910,KRW,Financial Services,Banks—Regional,0.35149,0.58037996,-135602800.69717368,0.01543,0.14512,,160985744.40715018,0.21314146985413993,0.204,146448887.6932033,56584997.2892127,284899236.36254096,0.32592188766897984,597897076.4548296,,675958455.9914359,992670568.952133,,0.273,,,4.1988716,,6.166,0.820915,1.0239709722562866,0.4274335261783504,0.7999720110224633,0.7631574078455701,,
006220.KS,Jeju BK,South Korea,296766,6420,KRW,Financial Services,Banks—Regional,0.14887,0.27395,-190002279.4829022,0.0030899998,0.03891,,112328338.23020789,3.597470054679497,0.019,111777691.0536263,12808560.102537762,714944203.5870904,22.2524578996725,395089647.0377332,,175279095.6352084,-134473830.48716402,,0.382,,,1.5604174,,-1.197,1.053411,8.62514968332059,2.4600796387402073,5.627409314847143,6.117382144330789,,1.98
