symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
SCB.BK,THE SIAM COMMERCIAL BANK PUBLIC,Thailand,11572769.0,103.0,THB,Financial Services,Banks—Regional,0.29136,0.36356,-3253525838.02621,0.00897,0.06846,0.25242212287648486,2944544434.523132,0.8662941882743644,-0.004,2952696226.542342,857933434.0716821,18470765726.81221,5.433876714778388,3992864907.742189,124.131,10536143263.145739,-3913889267.6136413,12.279448,0.054,7.4691806,,3.5781913,0.8297686,-1.329,0.782413,3.430629710052369,1.805594584238089,3.04583445272704,3.0855712560991186,0.03569378,4.39
KBANK.BK,KASIKORNBANK PUBLIC COMPANY LIM,Thailand,24909730.0,122.0,THB,Financial Services,Banks—Regional,0.31414,0.44012,-2972227336.900651,0.011849999,0.09187999,0.5011728700983522,3779902570.546225,1.5953631881466341,0.432,3350684903.3082128,1187414158.3057861,16139307857.596933,6.811756035253543,8230231181.076305,192.809,8698700447.976292,2496248214.042355,7.3255677,3.089,6.935759,,2.301303,0.6327505,0.66,0.850605,4.604266189807126,2.106527014944437,3.45851019696002,3.7685918763571333,0.024390243,2.74
BAY.BK,BANK OF AYUDHYA PUBLIC COMPANY ,Thailand,1172554.0,30.75,THB,Financial Services,Banks—Regional,0.35132998,0.43974,-4368348830.799131,0.01194,0.10515001,0.12497723847234637,2616554070.2074847,0.35570213309490356,0.546,2324806698.428918,919261849.4888235,1843445794.1115339,0.25061652829224673,5267759532.382271,41.659,6806779313.901852,10249644094.93892,7.4042864,1.235,8.070867,,2.601429,0.7381358,3.917,0.954688,1.2262996551283687,0.5627436454208711,0.9052313238983266,0.9922766614382424,0.023622047,2.32
BBL-R.BK,BANGKOK BANK PUBLIC COMPANY LIM,Thailand,1066301.0,113.5,THB,Financial Services,Banks—Regional,0.20572,0.25191,-5116144901.094494,0.0050700004,0.044260003,0.31050208200281004,2881061832.0978923,1.5093266062076893,0.261,2634131051.2709155,592684991.2822582,3576560333.440899,1.873665500063865,5895853976.462076,245.089,6530594703.463328,8882521447.714497,11.000194,1.054,,,2.266732,0.46309707,3.083,0.684611,3.9271682207178435,2.715915187124792,3.2716019670455996,3.4829591513603266,0.030701755,
BBL.BK,BANGKOK BANK PUBLIC COMPANY LIM,Thailand,11469872.0,113.5,THB,Financial Services,Banks—Regional,0.20572,0.25191,-5116144901.094494,0.0050700004,0.044260003,0.31050208200281004,2881061832.0978923,1.5093266062076893,0.261,2634131051.2709155,592684991.2822582,3576560333.440899,1.873665500063865,5895853976.462076,245.089,6519801396.383701,8882521447.714497,11.000194,1.054,5.368969,,2.2629855,0.46309707,3.083,0.684611,4.047541193000383,2.7083918763571333,3.290342052675948,3.4881484301954266,0.030701755,3.87
KTB.BK,KRUNG THAI BANK PUBLIC COMPANY ,Thailand,26190008.0,11.1,THB,Financial Services,Banks—Regional,0.23042999,0.35116002,-6437902722.998492,0.00641,0.05984,0.03897074977647209,2363643283.138689,0.16912402605696766,0.171,2327548102.5929236,544809074.0539021,4655057051.228407,0.33307201430578615,6156266977.249916,24.557,4668506406.23814,6550399443.25477,8.571429,0.601,4.847162,,1.9751315,0.45200965,2.771,0.602063,0.3882028356111891,0.2512785796398007,0.32606913608379096,0.33444050453442326,0.024553573,4.57
TTB.BK,TMBTHANACHART BANK PUBLIC COMPA,Thailand,314374037.0,1.05,THB,Financial Services,Banks—Regional,0.20073,0.24215001,5390133970.149546,0.00449,0.040149998,0.0025579256610039594,1224826863.8859622,0.012699348575807892,-0.102,1322902757.1337335,245857185.12075615,6101132411.863584,0.06328609017754502,2558077134.5003448,2.135,3049229307.108238,-495554996.07306165,12.352941,-0.181,,,2.4895186,0.49180326,-0.405,0.869896,0.038218418699706214,0.024074594456507854,0.03093408439392004,0.033578510072806225,0.041666668,3.4
TISCO.BK,TISCO FINANCIAL GROUP PUBLIC CO,Thailand,4390485.0,92.25,THB,Financial Services,Banks—Regional,0.40055,0.49995998,,0.025150001,0.18024999,0.23833848511942773,501715996.80122614,0.6260297355984161,0.192,468652275.9483969,200963081.67888618,90758778.97417293,0.11336124664708135,707194702.0131305,51.48,2222699683.1023116,2815142587.9665856,11.647727,0.253,10.104053,,4.430195,1.7919581,5.611,0.549573,3.0845574147400687,1.8733043811470174,2.7418041032060287,2.77567495107932,0.06810811,6.65
KKP.BK,KIATNAKIN PHATRA BANK PUBLIC CO,Thailand,3125708.0,55.0,THB,Financial Services,Banks—Regional,0.34072,0.41364,783111659.1380763,0.01396,0.11609,0.18146225571592794,465625244.53636473,0.54989383062971,0.061,486928835.3557286,158650036.69434154,393353543.09403497,0.4645493932813896,2224018832.208864,56.744,1401481538.646979,3229165584.061719,9.121061,0.144,7.1707954,,3.0098917,0.96926546,6.935,0.93091,1.933490867288287,1.068310129007536,1.621937327372589,1.704003256354579,0.04109589,7.27
CIMBT-R.BK,CIMB THAI BANK PUBLIC COMPANY L,Thailand,763367.0,1.02,THB,Financial Services,Banks—Regional,0.090459995,0.12434,,0.00212,0.02062,0.00048149188913015705,285904336.97892445,0.008215455358283306,0.064,314738827.9313833,25864434.626133602,3070308328.666036,0.08817320219696001,3278264013.0485115,1.183,1068874275.7203218,993891767.2383189,63.749996,1.004,,,3.738573,0.86221474,3.476,0.544186,0.03551002682334908,0.015949418827436453,0.024785662882104993,0.024679818626644524,0.0048076925,
CIMBT.BK,CIMB THAI BANK PUBLIC COMPANY L,Thailand,14094977.0,1.02,THB,Financial Services,Banks—Regional,0.090459995,0.12434,,0.00212,0.02062,0.00048149188913015705,285904336.97892445,0.008215455358283306,0.064,314738827.9313833,25864434.626133602,3070308328.666036,0.08817320219696001,3278264013.0485115,1.183,1068874275.7203218,993891767.2383189,63.749996,1.004,,,3.738573,0.86221474,3.476,0.544186,0.03581095925405543,0.015648486396730103,0.024862329030016603,0.024541999698556645,0.0048076925,
LHFG-R.BK,LH FINANCIAL GROUP PUBLIC COMPA,Thailand,2098287.0,1.39,THB,Financial Services,Banks—Regional,0.33945,0.42099,-624146118.1424958,0.0068300003,0.04567,0.0025579256610039594,156487760.62250605,0.007463124281517434,0.057,163813682.10499424,53120411.62733427,35551523.72032188,0.0016852216119555498,734792060.6156596,1.84,880178575.0578617,1687066842.952101,16.352942,-0.047,,,5.624584,0.75543475,10.781,0.724091,0.04754732405160301,0.02467645931792055,0.03514900420487929,0.034374256671350106,0.027972028,
LHFG.BK,LH FINANCIAL GROUP PUBLIC COMPA,Thailand,59386953.0,1.39,THB,Financial Services,Banks—Regional,0.33945,0.42099,-624146118.1424958,0.0068300003,0.04567,0.0025579256610039594,156487760.62250605,0.007463124281517434,0.057,163813682.10499424,53120411.62733427,35551523.72032188,0.0016852216119555498,734792060.6156596,1.84,879839789.6607995,1687066842.952101,16.352942,-0.047,,,5.6224194,0.75543475,10.781,0.724091,0.0493529186358411,0.024375526887214203,0.035678193884276406,0.03466698869331971,0.027972028,4.58
