symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
GARAN.IS,GARANTI BANKASI,Turkey,147291122,9.39,TRY,Financial Services,Banks—Regional,0.30776,0.36997002,-8040190097.085952,0.015520001,0.13484,0.23217492573255824,3168651999.758396,0.7544231813112521,0.337,2732762819.892818,975175128.6006138,11502552060.331415,2.73808296240735,10212714505.883955,16.025,4585135077.996506,3326487993.756205,4.702053,0.755,5.9056606,,1.4470302,0.5859595,1.05,1.200986,1.256790659573838,0.7487263503844142,1.0950205420289567,0.965851411426823,0.015684212,
AKBNK.IS,AKBANK,Turkey,65229093,5.55,TRY,Financial Services,Banks—Regional,0.35342997,0.47333,-6105998072.55924,0.0153,0.120299995,0.16788211955824442,2470019039.8215604,0.4750459421848939,0.3,2204561608.5192895,872978985.6834084,10187673554.92593,1.9591285295540004,14039285538.47004,12.944,3355317183.814928,7206951311.057114,3.8434904,0.331,3.8541667,,1.3584175,0.4287701,2.918,1.043517,0.8870779586076211,0.540617628771355,0.6539895634752227,0.6206269451161137,0.02166065,
ISCTR.IS,IS BANKASI (C),Turkey,40740588,5.27,TRY,Financial Services,Banks—Regional,0.22107,0.24507,-6665408.446256032,0.012359999,0.12165,0.19729636903763212,4016096801.4669914,0.8924260039675098,0.043,3802497454.674654,887836573.7263997,14310623461.877756,3.1801105375877143,23579771658.588867,15.618,2761095808.072007,12937197018.76336,3.1054802,0.355,3.9037037,,0.6875073,0.33743116,3.221,1.167339,0.8568498761386851,0.5417802473278525,0.6415329194753412,0.6106267629856992,,
YKBNK.IS,YAPI VE KREDI BANK.,Turkey,193645340,2.45,TRY,Financial Services,Banks—Regional,0.35071,0.45748,-5068753920.151594,0.0126,0.1306,0.0867313443147163,2089841268.813596,0.247405228822676,0.408,1855328549.6876326,732927298.0168372,9996997742.370832,1.1835456905144932,18595355703.170258,6.205,2406070897.033842,11004532195.090946,3.2841823,0.677,5.104167,,1.1513175,0.3948429,5.266,1.266038,0.39063983498317256,0.22903585563001488,0.29397640310689577,0.26998766426181614,,
SAHOL.IS,SABANCI HOLDING,Turkey,15962974,9.67,TRY,Financial Services,Banks—Regional,0.24125999,0.48564,1478400072.462126,0.02157,0.1443,0.3426236885998243,2892571991.5028176,1.4202548286173917,0.392,2445872274.60695,699178575.895305,5214736606.863989,2.55869091913978,14852104025.205727,20.351,2291787985.584319,16808706900.809488,3.281303,0.652,4.8592963,,0.7923011,0.47516093,5.811,0.940331,1.3846787007885673,0.8556872575821877,1.1606919812875653,1.07426768453362,0.03626943,3.03
VAKBN.IS,VAKIFLAR BANKASI,Turkey,37962129,3.44,TRY,Financial Services,Banks—Regional,0.27534,0.33972,-4663972357.644364,0.0060900003,0.08387999,0.12137737729834291,1621411336.8076348,0.4406324329125667,-0.368,2021866333.4089987,446434126.45263165,12687450391.499659,3.2484725087097694,27013519201.836502,12.257,1562016700.2777255,16008385079.124779,3.2950191,-0.681,2.6259544,,0.96336854,0.28065595,9.873,1.005832,0.5813092782487688,0.38366412364418734,0.410802977468097,0.41633940191269503,,
HALKB.IS,T. HALK BANKASI,Turkey,42513503,4.67,TRY,Financial Services,Banks—Regional,0.13151,0.12474,-7672764715.126081,0.00198,0.031600002,0.06254887833956752,1178242602.219042,0.4757435133187923,-0.313,1392645660.7088223,154949619.50356779,6882686139.582917,2.782262467554257,15978068689.73086,17.067,1343121244.6216555,10470134757.895443,8.680298,-0.905,1.8171207,,1.1399361,0.2736275,8.886,0.877074,0.7231487421414683,0.4778362267204879,0.5496860535120357,0.5472356023805058,,
TSKB.IS,T.S.K.B.,Turkey,54790443,1.25,TRY,Financial Services,Banks—Regional,0.56165004,0.67945,140360270.81393167,0.014989999,0.12546,0.02953051133503745,147445614.2925101,0.05255035875368869,0.484,147053226.8093128,82812624.0683754,520023915.15450585,0.18567018347265674,5288252255.845563,2.17,406916494.7741381,5181442961.548315,4.92126,0.174,4.8076925,,2.7597735,0.5760369,35.141,0.861123,0.324370577262813,0.1209123298757439,0.15250233860031778,0.15657951398991343,0.026771655,
ALBRK.IS,ALBARAKA TURK,Turkey,11662026,1.52,TRY,Financial Services,Banks—Regional,0.20106001,0.24412,-1706036217.1984642,0.00604,0.08495,0.0309256536028345,213413402.23088536,0.15369817316897447,0.356,196021209.00486562,42909810.35145031,1748195199.18518,1.2949245482269571,1347149969.0455275,3.117,238569327.7932947,-842433.4060381156,5.7142854,3.81,,,1.1178741,0.48764837,-0.004,1.047287,0.3185574844803253,0.16741707213564538,0.17532287831982865,0.18827916927055058,,
SKBNK.IS,SEKERBANK,Turkey,37425039,1.01,TRY,Financial Services,Banks—Regional,0.105749995,0.10232,-383749335.21352506,0.00471,0.073,0.013835160822320695,183207284.8818136,0.1309108494616227,-0.119,186081169.1323786,19374690.388559356,746590852.6198394,0.40133592570294996,679715634.3874539,1.473,218409514.58286864,181260484.7594327,8.487394,-0.811,,,1.1921443,0.68567544,0.989,1.109411,0.20638851119686547,0.11742447420625128,0.12141059331050205,0.13024579676874942,,
