symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
HSBA.L,HSBC HOLDINGS PLC ORD $0.50 (UK,United Kingdom,20173580,376.05,GBp,Financial Services,Banks—Diversified,0.21959,0.29834,-199304899641.1841,0.00386,0.056700002,28.979768752269717,66232569810.751724,3.280233824959291,0.393,57424101777.11655,12691758282.909456,1469742051821.7961,72.64814029497556,786085929721.4952,8.657,105999670708.78014,-536949073601.0308,17.907143,8.228,4.883766,,1.6004161,43.438835,-8.107,0.628278,638.3139064934456,388.46690017923453,542.5522616356031,580.8052665909117,0.00040661427,
LLOY.L,LLOYDS BANKING GROUP PLC ORD 10,United Kingdom,140168437,45.045,GBp,Financial Services,Banks—Regional,0.17782,0.28157,,0.00266,0.045089997,3.7259702681489637,17345081504.408234,0.2621979077586308,0.506,15188158804.165737,2459140376.978316,,,11729906046.451038,0.695,44111364523.62733,57711162449.679596,16.683332,1.91,0.05782413,,2.5431628,64.81295,3.327,1.483139,69.77224324355986,32.5470402867753,61.68792275341775,62.29982367067698,0.00013401832,
BARC.L,BARCLAYS PLC ORD 25P,United Kingdom,34973731,182.72,GBp,Financial Services,Banks—Diversified,0.2574,0.35202998,18783029853.4775,0.004,0.08023,20.423837025409135,29283365976.397266,1.70014643346649,0.666,23542612138.74864,6407288607.270128,862902972148.5889,50.55727657181683,875982525619.2776,3.783,42854678456.792755,56911139424.28452,12.345946,6.777,0.078623064,,1.4634478,48.300293,1.943,1.425313,300.3270035026885,122.68102105127514,251.76673659548047,247.59954244813326,5.4734537e-05,
NWG.L,NATWEST GROUP PLC ORD 100P,United Kingdom,18208042,213.0,GBp,Financial Services,Banks—Diversified,-0.00627,0.1916,,-6.0000002e-05,-0.0011999999,-4.82996145871162,11667806983.578365,0.9618523247777139,0.22,10951592610.381546,-580975364.0335977,463812896778.00446,40.121799843023325,231611820872.4998,3.692,34026225179.75235,-199833560572.10733,,0.812,,,2.9162486,57.69231,-17.127,1.663349,306.7701720886098,124.94420299192859,294.1599983130865,279.09988868713606,0.00014150943,
STAN.L,STANDARD CHARTERED PLC ORD USD0,United Kingdom,6646957,442.0,GBp,Financial Services,Banks—Diversified,0.10045999,0.19423,,0.0017,0.02607,27.323781966425734,17939856140.088795,5.6952145543151005,0.16,17194662793.013367,1213010320.6307182,333769655936.25336,106.09355341307122,301026660657.6057,16.03,19024682750.137646,-9960062264.503355,22.323233,1.141,5.390244,,1.0604702,27.5733,-0.555,1.208955,735.8101285100101,461.26131930695965,623.5518606890573,657.1833239225425,0.00020394291,
VMUK.L,VIRGIN MONEY UK PLC ORD GBP0.10,United Kingdom,1870362,195.1,GBp,Financial Services,Banks—Regional,-0.15226,0.15602,1395168867.0735564,-0.00092,-0.01635,-15.593875566697514,1468308283.4483323,1.01843187329405,0.228,1299949626.8875272,-223558216.08893782,14950800521.556177,10.384417136229983,18901709789.655937,3.528,3876511920.0028114,7924782966.071951,,,,,2.6401212,55.300453,5.397,2.145098,299.3196115413001,96.8503871700854,280.15883703712376,273.68679908156923,0.00016066339,
BGEO.L,BANK OF GEORGIA GROUP PLC ORD 1,United Kingdom,42466,1540.0,GBp,Financial Services,Banks—Regional,0.51924,0.0,,0.030280001,0.24787001,,,,0.623,1089056949.7323196,,,,,,1022861262.5891778,1042647345.9836228,,0.763,1.318493,,,,,1.444716,2334.941368040017,1145.0320630718227,2140.9763258086055,1799.1798252170142,,
STB.L,SECURE TRUST BANK PLC ORD 40P,United Kingdom,25170,1250.0,GBp,Financial Services,Banks—Regional,0.26615998,0.31967,37535700.4791303,0.01454,0.13978,117.57506179492286,198580415.4024577,10.659034944882443,0.647,154144769.98231083,52853578.24818715,256539952.90699714,13.764010168339912,509767932.24230635,14.517,321509856.55143327,577309406.7265676,14.671362,5.667,0.065893516,,1.6190411,86.10594,2.907,1.18358,1959.5843632487142,852.8331947096517,1802.802296311048,1620.5094769396576,0.0003548387,
MTRO.L,METRO BANK PLC ORD 0.0001P,United Kingdom,369513,102.5,GBp,Financial Services,Banks—Regional,-1.00366,-0.82735,-764513899.4646392,-0.01372,-0.2101,-241.49807293558098,414824689.85391796,2.4053208064383864,0.298,414824689.85391796,-416342677.7409416,5238438199.219802,30.381837564284286,1560767633.9772499,7.476,243886138.35971087,-3439256513.7776318,,,0.011793809,,0.5879258,13.710541,-8.291,2.686567,224.93820507714113,79.15616836334243,138.51064565678337,149.07474563921136,,
ARBB.L,ARBUTHNOT BANKING GROUP PLC ORD,United Kingdom,1718,935.0,GBp,Financial Services,Banks—Regional,-0.01912,0.02658,9461204.50312196,-0.00049,-0.00662,-12.281901995009546,96117613.01734944,6.397628949310591,-0.067,96117613.01734944,-1838145.332286822,1509347787.0084229,100.4714782751309,78121176.62218994,12.915,193255711.33160734,-1215623511.9384274,,,,,2.010617,72.39644,-12.647,1.270315,1642.1868959619505,827.9933929219919,1374.6223490270959,1409.1699593500696,0.0,
