symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
HDFCBANK.NS,HDFC BANK,India,6301274.0,1582.15,INR,Financial Services,Banks—Regional,0.40831003,0.5484899999999999,,,0.16579000000000002,0.8072370122553693,10945116348.804564,1.9898178624463358,0.155,10590735723.413471,4468957713.528471,16649544163.708897,3.0263968751986217,23495173721.790142,397.658,119246483059.78847,125424529894.66728,26.68134,0.14400000000000002,16.419157000000002,,10.894949,3.9786704,11.459,0.903992,22.339302119988208,13.953555559407626,20.845686306459342,20.250740730468547,0.0041668005,
ICICIBANK.NS,ICICI BANK,India,11740842.0,720.15,INR,Financial Services,Banks—Regional,0.19320999,0.21677,,0.01442,0.14213,0.3903319985901413,14101658155.739819,2.056713249781876,0.368,13155226333.662683,2724558829.7644725,5727926319.937778,0.8276840761092523,18673418594.72301,234.933,67968792824.351074,82085567676.59747,25.115963,0.523,30.4632,,4.819915,3.0653422000000004,5.8210000000000015,0.984746,10.002997682978268,4.543413822392483,9.596755908405413,8.714643436357017,0.002750275,
SBIN.NS,STATE BK OF INDIA,India,23329282.0,454.1,INR,Financial Services,Banks—Regional,0.13585,0.15619001,,0.0056800004,0.09332,0.3815242420565445,25061495083.64959,2.808476370423016,0.267,23783571994.268112,3404513307.5485444,23445412811.47671,2.627052921700844,56633686403.70316,318.204,55169843468.479965,89707858556.89441,16.202811999999998,0.545,15.631670000000002,,2.2013788,1.4270718999999998,3.58,1.0013450000000002,6.4240808473019095,2.389120976269305,5.852287555224277,5.4629728729336025,0.008626266,
KOTAKBANK.NS,KOTAK MAHINDRA BAN,India,3951900.0,2007.95,INR,Financial Services,Banks—Regional,0.23809,0.31732,,,,0.6802936897270998,5685444959.030941,2.8587908497864984,0.17,5525407138.391489,1353658285.4253669,4993083040.41288,2.518351320586824,6498803792.799597,421.68300000000005,54205208380.497635,55701632864.14033,40.1807,-0.025,,,9.534031,4.761752,9.797,0.72454,27.89349789387925,16.752434606250755,24.14369696822617,24.149507092628866,0.0004719949500000001,
AXISBANK.NS,AXIS BANK,India,7064823.0,807.35,INR,Financial Services,Banks—Regional,0.28702,0.30484,,0.0088,0.0879,0.3780664829227986,4009156410.474093,1.3204964320176578,0.5660000000000001,3597602688.554144,1150710456.6421096,9179363257.696777,2.9946508346478526,21933969768.521458,346.025,33720592928.7346,46469702864.53703,29.070646000000004,1.144,,,8.410894,2.3332129,11.591,1.344997,11.172373704981306,5.447331958143377,10.441967556148773,10.002657352354868,0.0012459507,
INDUSINDBK.NS,INDUSIND BANK LTD,India,3820614.0,1130.0,INR,Financial Services,Banks—Regional,0.26382,0.35337,,,,0.6206133116076432,1772882981.293487,2.3577697192416807,0.364,1645327105.5718305,467725909.3525628,7706432818.305973,9.965711059878542,6986689730.3959255,568.756,11907152585.457607,11175814588.072365,24.78668,0.991,11.700145,0.94,6.716264999999999,1.9867923,6.3039999999999985,1.945266,16.152091386572828,6.602414093963609,13.81532415076242,13.449752430214884,0.0044210623,
BANDHANBNK.NS,BANDHAN BANK LTD,India,5709776.0,287.25,INR,Financial Services,Banks—Regional,0.38251,0.5114,-2972485722.562291,0.021340001,0.13529000000000002,0.18636504937394185,784912764.4018557,0.4875712643080425,-0.298,784912779.9753853,300233822.05911,712704922.5449103,0.4427020749189621,2308851683.1852627,108.133,6298362142.609,9094602163.209023,20.982470000000006,-0.8009999999999999,13.652566,,8.024283,2.6564507,11.587,1.791341,5.8632159799384045,3.4223647489122704,3.918547739314831,4.268067561811321,0.0033596507,
PNB.NS,PUNJAB NATL BANK,India,62620623.0,39.75,INR,Financial Services,Banks—Regional,0.13942000000000002,0.12315,,0.0026,0.03558,0.03593891383105964,3117210426.917852,0.3108716046386659,0.038,3085872673.7737412,434614475.845031,6428227537.5532465,0.5997306245558077,6936149075.468065,88.46700000000001,5958335054.483176,6027149747.096603,15.056818,1.173,2.9819956000000003,-0.12,1.9114318,0.44932008,1.934,1.25862,0.6309729757839448,0.3580278158169957,0.514712263967134,0.5278244133196969,0.078947365,
IDBI.NS,IDBI BANK LTD,India,12336248.0,39.15,INR,Financial Services,Banks—Regional,0.17482,0.28687,-687398406.9906799,0.00511,0.04216,0.019603043907850712,1178959694.0231464,0.11213213379789327,,1178959732.3579884,206100137.64306307,4806573749.228125,0.4508155569808224,2165598590.6620674,35.292,5730575578.098561,2976900111.981232,27.1875,2.845,6.345219,,4.8607054000000005,1.1093166,2.525,0.987019,0.6125951221203348,0.35870847706379605,0.5206869314196235,0.5150572911531371,0.017793594,
IOB.NS,INDIAN OVERSEAS BK,India,16622877.0,21.85,INR,Financial Services,Banks—Regional,0.15375,0.15546,,0.0038299998,0.05495,0.006942744717363795,918519862.9077524,0.05592312803711856,0.252,871441065.0210612,141226350.36724505,1474193844.2444599,0.08574970387191087,471582505.91893303,10.174,5622499762.777097,3455714158.1453648,42.84314000000001,1.706,-2.04588,,6.121261,2.1476314,3.762,1.072944,0.3947835231442158,0.11571241195606324,0.2792790940387248,0.2669042914015959,,
